Device_SN,PartNo_Select,Iop (mA),Ith (mA),Laser Temperature (Top) (C),Slope Efficiency (mW/mA),Optical Power (mW),SMSR (dB),Tracking Error_MIN (dB),Tracking Error_MAX (dB),Thermistor Resistance (Rth) (K-Ohm),B Consttant (K),CNR @ 61.25 MHz (dB),CNR @ 547.25 MHz (dB),CSO (dB),CTB (dB),Chirp (MHz/mW),Monitor Current (micro-A),Frequency Response (dB),
CFB1684,G1752-204-020,77.32,16.45856,27.69,0.17,10.51,53.78,-0.07,0.04,8.893,3946.2,52.3,53.6,41.7,69.4,358.06,254.5,1.14,
CFB0333,G1752-204-024,63.55,13.82867,24.26,0.209,10.52,43.89,-0.09,0.04,10.348,3947,52.7,53.8,42.4,71.9,354.09,542.8,0.5,
CFB0323,G1752-204-024,58.04,14.88105,22.91,0.24,10.53,44.43,-0.13,0.02,11.002,3949.3,52.7,53.6,41.4,73.1,377.89,363.4,0.6,
CFB1712,G1752-204-020,82.33,16.09908,26.54,0.158,10.52,56.69,-0.05,0.05,9.321,3934.7,52.6,53.6,41.7,68,360.76,440.8,1.38,
CFB1716,G1752-204-020,77.56,17.44268,27.9,0.174,10.52,56.57,-0.04,0.05,8.817,3948.2,52.3,53.2,41.9,67.5,339.47,484.1,1.15,
CFB0337,G1752-204-024,70.55,17.81,30.49,0.199,10.52,51.25,-0.03,0.02,7.878,3945.2,52,53.3,43.2,68.6,311.28,649.8,0.6,
CFB0309,G1752-204-024,60.04,15.28448,26.8,0.234,10.54,44.59,-0.16,0.06,9.242,3944.7,51.6,53.2,42.4,68.4,379.35,511.5,0.6,
CFB1674,G1752-204-020,79.57,17.67867,28.48,0.168,10.5,57.2,-0.16,0.18,8.608,3952.8,52.5,53.4,41.4,69.2,348.88,345.3,1.2,
CFB0324,G1752-204-024,56.03,11.63722,22.73,0.235,10.54,51.94,-0.01,0.05,11.096,3950.5,52.4,54.5,41.9,68.1,352.64,446.3,0.7,
CFB1132,G1752-204-024,64.8,16.28189,30.21,0.213,10.56,49.22,-0.07,0.05,7.987,3952.2,52.3,53.6,41.9,72.8,325.17,385.9,0.6,
CFB1126,G1752-204-024,71.31,16.36168,27.75,0.189,10.53,48.48,-0.09,0.04,8.856,3940.5,52.3,53.3,41.9,71.6,354.83,453,0.5,
CFAG212,G1752-204-054,73.3,19.63238,30.39,0.19,10.52,49.11,-0.05,0.01,7.915,3946.9,51.7,52.8,43.1,69.9,312.37,391.3,1,
CFB1825,G1752-204-020,64.05,18.60933,28.21,0.224,10.52,48.89,-0.07,0.09,8.699,3948.3,52.2,52.6,42.6,68.1,340.42,398.2,0.7,
CFB1778,G1752-204-020,72.8,20.71994,28.87,0.195,10.51,48.38,-0.06,0.01,8.446,3944.9,52.7,53.1,41.7,67.3,324.11,359.7,0.6,
CFB1772,G1752-204-020,97.83,20.44106,27.6,0.135,10.52,51.25,-0.09,0.03,8.928,3946.2,52.5,54,41.9,70.9,343.86,590.4,1,
CFB1152,G1752-204-048,61.3,16.00696,28,0.226,10.53,48.32,-0.13,0.08,8.77,3944.6,52,53,44.4,69.6,336.33,477.5,0.6,
CFA9749,G1752-204-059,60.53,14.51287,27.28,0.224,10.55,47.33,-0.05,0.01,9.051,3945.1,52.5,53.6,42.2,72.3,362.27,331.2,0.8,
CFB0295,G1752-204-024,54.79,13.65152,24.3,0.248,10.56,54.87,-0.04,0.04,10.324,3945.3,52.2,52.8,43.2,70.6,331.58,345.4,0.8,
CEI8732,G1752-204-047,83.05,15.53621,27.7,0.154,10.52,51.65,-0.14,0.13,8.891,3946.9,52,52.8,42.5,71.7,367.76,481.7,0.8,
CFAC722,G1752-204-029,90.56,16.29389,24.23,0.141,10.5,53.34,-0.07,0.06,10.373,3950.4,51.7,52.8,42.2,63.2,380.9,760.6,1.2,
CFAG527,G1752-204-029,81.31,17.73984,24.75,0.167,10.51,52.38,-0.03,0.03,10.11,3942.3,52.5,53.3,42.2,63.2,384.16,564.9,0.9,
CFAB932,G1752-204-021,81.56,21.37435,29.41,0.168,10.53,52.18,-0.09,0.05,8.263,3950.4,52.3,52.7,41.2,71.4,383.68,571.4,1,
CFB0162,G1752-204-021,62.29,13.90794,25.2,0.214,10.5,48.11,-0.14,0.07,9.909,3941.9,52.3,53,42.2,70.9,356.32,482.2,0.8,
CELK471,G1752-204-022,60.29,14.94455,29.62,0.225,10.5,51.28,-0.02,0.04,8.191,3951.6,52.3,52.3,41.8,70.1,379.62,436.5,1.1,
CFA4586,G1752-204-024,55.29,11.70247,23.48,0.236,10.5,49.12,-0.07,0.04,10.705,3943.9,52.5,53.3,41.8,71.4,355.05,467.3,0.7,
CFAG226,G1752-204-054,73.29,16.71974,26.98,0.183,10.5,52.47,-0.03,0.02,9.171,3945.3,51.8,52.5,41.7,65.4,381.47,580.3,1.3,
CFAG204,G1752-204-054,85.81,20.0045,23.57,0.158,10.51,52.53,-0.08,0,10.661,3943.7,52.2,53,42.8,71.4,343.44,567.6,1.1,
CFAE257,G1752-204-024,92.81,16.25103,23.08,0.136,10.5,50.69,-0.02,0.07,10.9,3944.2,52.7,54,41.4,68.6,349.68,873.7,0.7,
CFAG430,G1752-204-021,64.8,16.53506,23.53,0.214,10.54,49.69,-0.02,0,10.707,3951.4,52.7,53.1,41.9,72.8,363.71,309.6,0.7,
CFAE455,G1752-204-027,67.55,16.01058,27.11,0.199,10.54,47.86,-0.17,0.07,9.121,3946.1,52.5,53.3,41.6,72.8,375.29,488.2,0.9,
CFA9143,G1752-204-060,56.3,17.76879,29.36,0.262,10.52,42.76,-0.1,0.04,8.273,3946.7,52.7,52.6,43.7,65.6,350.95,332.6,1.23,
CFAF880,G1752-204-030,71.04,18.88651,25.85,0.193,10.5,45.31,-0.01,0.08,9.619,3938.6,52.8,53.1,39.9,63.4,384.23,175.9,0.7,
CFAD352,G1752-204-029,62.05,15.79305,25.35,0.223,10.5,45.3,-0.14,0.08,9.815,3932.4,53,53.8,42.1,73.1,350.58,468.5,0.8,
CFAG554,G1752-204-029,76.81,16.19029,25.92,0.173,10.56,52.59,-0.09,0.01,9.572,3932.5,52.5,53.8,41.9,71.2,342.95,589.6,0.8,
CFAB281,G1752-204-021,82.56,22.04685,28.97,0.171,10.5,49.81,0,0.1,8.41,3945.1,52.5,53.6,41.9,73.1,335.29,314.8,0.7,
CFAF017,G1752-204-024,58.79,12.40941,25,0.223,10.53,57.82,-0.05,0.05,10.013,3947.1,52.8,54.1,41.4,69.8,354.53,527.8,0.88,
CFAG551,G1752-204-029,73.05,13.33468,23.32,0.175,10.54,48.04,-0.06,0.1,10.804,3950.2,52.7,53.9,42.1,70.3,356.87,424.4,0.8,
CFAG536,G1752-204-029,76.55,16.38688,29.2,0.173,10.52,48.56,-0.06,0.06,8.337,3949.8,52.8,53.6,41.9,71.6,352.97,495.2,0.7,
CFA9354,G1752-204-020,65.55,14.49774,25.66,0.204,10.55,50.13,-0.11,0.05,9.668,3927.6,52.7,53.6,41.2,71.6,337.73,498,1.12,
CFAG543,G1752-204-029,73.31,15.95919,25.22,0.18,10.5,47.03,-0.13,0.09,9.911,3945.5,52.7,53.8,42.1,71.9,344.25,423.7,0.7,
CFAC624,G1752-204-024,82.31,21.83151,31.99,0.173,10.53,52.01,-0.09,0.15,7.395,3947.8,52.4,52.8,41.7,71.7,353.85,591.4,1.12,
CFAG540,G1752-204-029,69.31,16.89133,28.75,0.196,10.5,51.25,-0.11,0.03,8.484,3942.3,52.7,53.6,42.4,71.6,345.21,397.9,0.7,
CFAG548,G1752-204-029,78.06,16.85275,26.27,0.17,10.53,49.98,-0.06,0.02,9.449,3940.8,53,54,41.9,71.9,371.48,450.4,0.8,
CFA9041,G1752-204-057,54.53,14.98827,28.29,0.259,10.51,46.74,-0.05,0.02,8.665,3946.7,53.2,53.1,43.2,70,334.56,543.2,0.8,
CFAD259,G1752-204-024,58.01,13.41494,22.5,0.233,10.53,51.12,-0.06,0.03,11.211,3950.2,53,53.8,41.2,73.8,349.4,666.6,1.11,
CFAG417,G1752-204-021,62.76,16.97183,27.89,0.225,10.53,53.52,-0.09,0.01,8.819,3947.5,52.7,53.5,42.2,71.3,361.11,258.5,1.02,
CFAG378,G1752-204-021,62.48,19.79374,30.84,0.242,10.56,51.26,-0.03,0.07,7.783,3956.9,52.5,53.4,41.6,71.8,355.46,354.5,0.96,
CFAG476,G1752-204-021,63.75,14.78054,28.88,0.211,10.53,54.69,-0.09,0.03,8.451,3948.8,52.8,53.5,40.9,72.7,372,466.9,1.11,
CFAC589,G1752-204-024,77.31,20.70548,30.31,0.182,10.5,44.2,-0.14,0,7.954,3952.9,52.5,52.5,42.4,72.8,331.84,489.8,1.05,
CFAD339,G1752-204-029,63.97,16.2479,25,0.217,10.55,52.23,-0.08,0.02,10.092,3972.7,53,54.1,41.2,72.9,380.09,326.2,0.92,
CFAB739,G1752-204-020,76.53,20.33805,28.51,0.184,10.52,52.11,-0.21,0.06,8.593,3951.2,52.5,52.8,42.7,70.6,334.35,407.3,1.11,
CFAA025,G1752-204-020,64.06,15.83122,25,0.211,10.51,51.16,-0.04,0.06,10.017,3948.4,52.5,52.8,42.4,70.9,349.19,424.5,1.26,
CFAB746,G1752-204-020,66.55,18.78037,27.73,0.217,10.52,46.69,-0.11,0.11,8.881,3947.6,52.8,52.6,42.2,71.7,339.96,311.5,1.08,
CFAE221,G1752-204-024,51.81,14.41011,25.45,0.276,10.5,53.98,-0.05,0.01,9.756,3927,52.5,53.3,42.6,72.6,375.26,302.8,0.92,
CFA7492,G1752-204-024,58.04,13.31459,23.27,0.236,10.54,56.69,-0.05,0,10.8,3942.1,52.7,53.6,41.4,65.8,383.05,319.8,1.16,
CFAG206,G1752-204-054,68.27,16.59894,24.18,0.192,10.51,52.12,-0.12,0.01,10.41,3954.6,51.8,52.1,44.9,64.8,315.77,276.4,1.27,
CFB0110,G1752-204-058,67.53,15.55202,25,0.196,10.51,54.39,-0.04,0.05,10.017,3948.4,53,53.1,43.2,67.2,344.79,582.5,1.35,
CFAF085,G1752-204-024,52.05,12.22342,26.41,0.259,10.54,55.18,-0.06,0.01,9.405,3945.9,51.9,53.2,43.1,71.9,311.55,324.4,1.1,
CFAF041,G1752-204-024,74.3,16.91324,25.81,0.181,10.53,49.21,-0.07,0.07,9.63,3936.5,52.6,53.6,41.1,72.5,379.24,510.8,0.8,
CFA8414,G1752-204-024,67.04,17.72866,24.64,0.212,10.55,55.11,-0.01,0.04,10.186,3950.7,52.8,53.2,40.6,70.5,354.91,497.3,1,
CFAE376,G1752-204-029,74.54,23.22703,32.35,0.198,10.54,45.53,-0.23,0.08,7.3,3958.1,52.9,53.1,40.8,72.9,350.06,500.2,0.6,
CFAF940,G1752-204-035,78.8,16.47159,23.6,0.176,10.53,46.97,-0.05,0.02,10.654,3945.8,51.4,52.6,43.3,66.6,343.32,903.2,1,
CFAG655,G1752-204-029,77.81,15.77984,24.26,0.173,10.52,57.92,-0.1,0.05,10.356,3949.4,51.1,52.4,43.8,70.9,321.75,692,1,
CFAG695,G1752-204-029,68.59,16.56659,23.12,0.207,10.53,52.28,-0.05,0.05,10.903,3950.6,51.6,52.7,43,71.1,355.84,523,1.2,
CFAG631,G1752-204-029,55.05,14.87873,27.04,0.263,10.52,57.55,-0.04,0,9.103,3928.3,51.9,52.8,43,64.9,376.71,365.7,1,
CFAG662,G1752-204-029,64.79,14.56912,25,0.212,10.51,52.34,-0.05,0.11,10.015,3947.7,51.9,52.7,42.6,63.6,321.26,529.8,1,
CFAE330,G1752-204-029,58.31,15.0788,23.98,0.244,10.51,53.81,-0.03,0.02,10.498,3952.9,52.4,53.7,42.6,63.7,331.08,426.5,1.3,
CFAD365,G1752-204-029,64.78,13.87234,21.77,0.212,10.53,48.78,-0.09,0.07,11.572,3946.2,51.7,52.9,42.1,68.7,365.23,614.3,1.2,
CFAD205,G1752-204-024,68.3,16.91772,23.85,0.206,10.52,57.6,-0.13,0.14,10.557,3952.2,51.6,53.1,43,69.7,325.55,415.2,0.8,
CFAE359,G1752-204-029,61.05,14.20672,23.77,0.227,10.51,57.96,-0.11,0.03,10.572,3945.4,52.7,53.8,42,63,342.08,323.2,1,
CFAE476,G1752-204-031,70.55,16.56713,27.66,0.2,10.5,52.01,-0.08,0.05,8.893,3941.4,51.1,52.2,42.6,70.2,357.66,792,1,
CFAC017,G1752-204-029,62.79,13.37306,23.64,0.215,10.5,57.43,-0.07,0.04,10.663,3954,51.9,52.9,42.6,72.5,350.94,471,1.3,
CFAC044,G1752-204-029,62.55,15.88215,22.56,0.23,10.53,57.14,0,0.26,11.168,3946.9,51.4,52.6,43.3,71.2,319.16,483.2,1.1,
CFAC005,G1752-204-029,63.78,14.8782,25.94,0.215,10.5,58.29,-0.23,0,9.58,3938.3,52.1,53.4,42.3,63.6,322.9,470,1.2,
CFAG653,G1752-204-029,78.28,16.56536,25.48,0.174,10.54,51.58,-0.08,0.08,9.762,3933.4,51.2,52.4,43.1,69.7,332.89,535.1,0.6,
CFAG654,G1752-204-029,79.29,14.3348,21.75,0.165,10.54,50.21,-0.03,0.02,11.57,3943.1,51.7,52.9,42.1,68.8,355.71,735.6,0.7,
CFB1682,G1752-204-020,70.32,18.75986,25.32,0.199,10.53,48.42,-0.08,0,9.866,3945.1,52.3,52.7,42.7,68.7,319.53,243.9,0.78,
CFB1046,G1752-204-026,74.8,19.30755,33.52,0.191,10.54,56.59,-0.05,0.03,6.954,3962.2,51.4,52.2,42.4,65.2,342.04,526.7,1.39,
CFB0342,G1752-204-024,74.8,15.48401,28.03,0.175,10.52,53.93,-0.08,0.06,8.772,3950.2,52.5,53.2,41.1,68.4,367.58,590.5,1.41,
CFAG220,G1752-204-053,77.08,18.61168,28.07,0.176,10.5,55.97,-0.08,0.04,8.747,3946.1,51.6,52,42.2,69.6,325.99,419.6,0.88,
CFAG216,G1752-204-054,64.53,13.83537,23.98,0.202,10.51,57.43,-0.04,0.02,10.476,3946.3,52,52.6,42.7,70.2,333.5,457.1,0.71,
CFB1763,G1752-204-020,72.31,17.14937,29.99,0.188,10.54,51.92,-0.12,0.06,8.056,3948.9,52.8,53,41.1,68.9,349.22,653.2,1.38,
CFB1711,G1752-204-020,80.56,17.85796,27.16,0.165,10.54,49.61,-0.06,0.04,9.088,3941,52.6,53.2,40.7,70.9,370.82,423.1,0.87,
CFB0346,G1752-204-024,77.06,17.596,29.15,0.175,10.53,48.38,-0.12,0.1,8.358,3951.2,52.8,53.2,41.1,71.4,341.93,509.8,1.15,
CFB0424,G1752-204-029,73.28,10.75324,27.99,0.165,10.52,54.83,-0.05,0.04,8.782,3948,52.1,53.2,40.9,71.1,361.85,573.5,1.14,
CFB1034,G1752-204-026,68.8,20.78077,32.99,0.216,10.55,53.27,-0.04,0.02,7.092,3949.8,52.6,53.4,42.4,70.6,332.2,375,1.03,
CFB2580,G1752-204-020,82.32,19.84623,27.22,0.165,10.52,54.57,-0.1,0.09,9.081,3947.6,52.5,52.9,40.7,70,339.68,324.8,1.02,
CFB1756,G1752-204-020,73.82,18.02141,28.66,0.186,10.54,51.51,-0.08,0.11,8.517,3942.2,52.8,53,40.7,69.7,329.99,275.2,1.31,
CFB0420,G1752-204-029,69.3,11.78429,29.69,0.179,10.5,53.33,-0.05,0,8.163,3950,52.1,53.4,42.1,69.4,341.19,328.1,1.08,
CFB1100,G1752-204-024,57.22,13.71344,30.63,0.237,10.53,57.23,-0.04,0.06,7.836,3947.9,52.6,53.4,41.7,68.9,316.57,555.3,1.2,
CFB1770,G1752-204-020,77.65,17.17633,28.96,0.174,10.5,56.39,-0.04,0.03,8.407,3942.1,52,52.9,42.4,68,328.75,648.8,1.12,
CFB1679,G1752-204-020,78.39,18.62671,27.38,0.173,10.52,54.13,-0.24,0.14,9.013,3945.7,52.5,52.6,42.4,69.9,315.42,356.6,0.86,
CFB1702,G1752-204-020,78.15,20.07048,29.15,0.176,10.55,52.49,-0.01,0.06,8.363,3953.5,52.5,52.9,41.6,68.4,331.75,493.3,1.1,
CFB1677,G1752-204-020,71.56,19.01541,31.3,0.197,10.52,50.08,-0.07,0.11,7.628,3955,52.3,52.7,42.9,70.6,316.81,303.3,0.87,
CFB2568,G1752-204-020,80.43,17.89987,27.56,0.166,10.5,47.04,-0.11,0.15,8.939,3944.3,52.6,53.4,41.6,70.1,335.74,648.4,1.03,
CFB0155,G1752-204-027,52.8,13.66944,26.08,0.264,10.54,50.45,-0.04,0.03,9.538,3944.3,52.5,52.9,42.1,71.2,354.28,365.1,0.92,
CFB0144,G1752-204-027,52.55,13.68992,25.65,0.261,10.53,50.8,-0.04,0.01,9.734,3948.9,52.1,53.1,42.7,70.9,361.27,428.7,0.85,
CFB1096,G1752-204-021,97.76,18.66341,28.8,0.132,10.5,57.76,-0.08,0.01,8.478,3947.8,52.6,53.4,39.4,64.9,355.82,365.1,1.27,
CFB0888,G1752-204-030,68.32,10.79359,24.7,0.178,10.5,52.27,-0.13,0.03,10.159,3950.7,52.3,53.2,41.7,69.1,311.17,472,1.09,
CFB1946,G1752-204-022,91.82,14.27391,31.9,0.135,10.56,52.13,-0.07,0.02,7.433,3953.5,52.6,53.9,40.2,66,344.68,1177.1,1.02,
CFB1870,G1752-204-022,61.99,15.42979,32.41,0.217,10.51,55.28,-0.25,0.1,7.275,3954.2,53,53.6,41.2,69.2,323.66,171.2,1.23,
CFB1885,G1752-204-022,69.05,19.76373,31.75,0.206,10.53,52.03,-0.11,0.11,7.458,3940.5,52.6,53.1,41.2,69.2,335.83,180.7,1.03,
CFB1717,G1752-204-020,86.32,16.84995,27.59,0.15,10.53,50.37,-0.05,0.1,8.936,3947.8,52.3,53,41.1,68.9,371.69,487.6,1.02,
CFAA065,G1752-204-020,64.82,15.65282,28.2,0.208,10.55,54.44,-0.03,0.04,8.706,3949.7,52.9,53.4,40.2,67.6,368.55,338.6,0.99,
CFB1877,G1752-204-022,69.06,15.96803,32.47,0.201,10.52,51.27,-0.07,0.1,7.249,3949.5,52,52.6,41.4,64.7,339.19,605.1,1.41,
CFB1852,G1752-204-022,58.31,14.9311,26.96,0.237,10.51,57.15,-0.09,0.04,9.173,3943,52.2,53.3,41.7,69.1,323.16,335.2,1.33,
CFB1013,G1752-204-029,67.06,16.45827,30.91,0.204,10.53,57.24,-0.07,0.04,7.75,3951.7,52.3,53.4,41.4,66.8,364.15,509.8,1.23,
CFAD275,G1752-204-024,65.02,13.60517,24.07,0.2,10.54,53.24,-0.11,0.1,10.464,3955.4,52.3,53.4,41.7,70.6,362.57,310.8,1.06,
CFB1000,G1752-204-029,67.78,17.59631,31.11,0.199,10.52,54.28,-0.07,0.09,7.691,3955.5,52.5,52.6,40.6,64.5,341.27,172,0.94,
CFB0438,G1752-204-029,78.03,13.34929,26.34,0.159,10.55,52.48,-0.08,0.1,9.4,3933.5,52.8,53.2,40.7,70.2,367.6,445.7,1.06,
CFB0988,G1752-204-029,74.29,17.91391,28.63,0.183,10.52,58.13,-0.09,0.03,8.546,3950.1,52.6,53.6,40.7,69.9,366.63,607.4,1.05,
CFB0976,G1752-204-029,97.51,19.32435,30.88,0.133,10.5,52.25,-0.22,0.07,7.749,3945.9,52.6,53.9,41.7,71.8,364.11,1141.3,0.95,
CFB1106,G1752-204-024,57.44,15.57093,30.41,0.244,10.52,53.63,-0.18,0,7.918,3951.9,52.3,53.2,42.1,71.2,321.73,376.8,1,
CFB1851,G1752-204-022,60.06,14.66635,26.28,0.224,10.5,52.18,-0.07,0,9.453,3943.8,52.8,53.9,40.9,71.2,324.76,348.8,1.18,
CFB0932,G1752-204-030,70.04,10.90853,25.16,0.176,10.51,56.44,-0.04,0.01,9.913,3937.4,52.1,53.4,41.7,69.1,318.11,609.2,0.83,
CFB0931,G1752-204-030,70.79,12.47442,24.38,0.177,10.51,53.5,-0.06,0.01,10.304,3950.4,52.3,53.7,42.2,70.2,321.98,556.1,1,
CFB0925,G1752-204-030,66.31,15.70892,23.91,0.202,10.5,52.93,-0.09,0.05,10.518,3949,52.1,53.4,42.1,70.4,323.92,471.9,0.97,
CFB1111,G1752-204-024,75.78,17.95836,29.84,0.181,10.5,52.28,-0.1,0.03,8.111,3950.3,52.8,53.4,41.2,66.9,332.39,783.9,1.18,
CFB0431,G1752-204-029,68.05,11.02274,29.6,0.181,10.52,52.38,-0.16,0.04,8.183,3944.4,52.4,53.4,42.1,69.3,333.5,551.7,0.91,
CFB0953,G1752-204-029,79.56,18.50087,26.5,0.165,10.51,51.92,-0.3,0.02,9.368,3946,52.8,53.4,40.2,67.6,355.59,259.5,1.1,
CFB0968,G1752-204-029,88.29,15.43282,29.57,0.142,10.51,57.37,-0.13,0.05,8.197,3946,52.3,53.4,42.6,70.9,316.77,580.7,1.21,
CFB0926,G1752-204-030,69.77,16.82003,23.43,0.199,10.5,52.77,-0.09,0.04,10.762,3953.4,52,52.9,42.1,66.2,331.91,382.1,1.14,
CFB0962,G1752-204-029,78.25,13.2259,27.53,0.157,10.52,60.87,-0.12,0.06,8.963,3949.3,52.3,53.2,41.2,69,336.53,586.7,1.22,
CFB0960,G1752-204-029,73.04,15.51309,31.15,0.173,10.5,59.31,-0.1,0.04,7.673,3952.8,52.5,53.4,41.4,68.7,344.71,411.8,1.25,
CFB0983,G1752-204-029,70.8,19.88603,33.98,0.204,10.55,50.43,-0.15,0.04,6.809,3953.9,51.9,52.4,41.6,69.4,346.97,551,0.96,
CFB0964,G1752-204-029,76.26,15.59443,29.47,0.171,10.51,59.6,-0.06,0.06,8.234,3946.8,52,52.6,40.7,69.6,345.72,376.5,1.16,
CFB0967,G1752-204-029,90.31,16.75342,28.66,0.144,10.5,57.57,-0.07,0,8.514,3940.9,51.8,52.9,42.9,67,328.77,734.2,0.99,
CFB0955,G1752-204-029,77.31,21.2975,30.37,0.185,10.56,57.92,-0.11,0,7.919,3945.4,52.8,53.1,40.9,68.1,378.28,402.6,1.02,
CFB0959,G1752-204-029,75.85,16.12932,31.53,0.166,10.51,56.66,-0.19,0.08,7.553,3954.7,52.1,53.1,40.7,69.4,363.03,579.2,1.25,
CFB0150,G1752-204-027,51.3,14.85394,26.26,0.278,10.55,53.67,-0.1,0.01,9.456,3941.8,52.6,53.4,41.2,69.6,383.1,205.5,0.9,
CFAG671,G1752-204-029,66.05,13.8552,25,0.198,10.51,52.14,-0.05,0,10.017,3948.4,52.1,52.9,42.2,69.7,349.55,494.6,0.87,
CFB0954,G1752-204-029,74.76,15.11185,29.5,0.167,10.52,57.11,-0.16,0,8.231,3950.4,52.1,53.2,41.7,68.9,324.93,572.4,1.3,
CFB0989,G1752-204-029,61.54,16.2859,29.24,0.228,10.54,55.75,-0.05,0.05,8.328,3952.3,52.6,53.6,41.1,71.4,344.27,451.4,1.09,
CFAE263,G1752-204-024,83.3,18.27307,21.01,0.161,10.54,50.34,-0.09,0.16,11.979,3946.2,52.2,53.6,42.9,70.8,313.57,644.4,0.5,
CFAG436,G1752-204-021,61.79,16.42739,24.18,0.226,10.53,49.17,-0.08,0.07,10.394,3949.7,52.9,53.8,42.4,70.9,332.34,336.4,0.6,
CFAG446,G1752-204-021,71.04,21.18826,27.3,0.205,10.54,46.62,-0.01,0.05,9.047,3946.7,53,54,41.6,72.6,388.28,355.9,0.7,
CFAC668,G1752-204-024,82.98,19.55346,28.8,0.165,10.52,51.43,-0.25,0.18,8.554,3981.5,52.2,53.3,42.4,70.8,331.33,665.9,0.6,
CFAE344,G1752-204-029,62.47,15.22116,23.49,0.218,10.5,49.52,-0.04,0,10.81,3975.5,52.5,53.6,43.7,72.4,315.53,209.7,0.6,
CFAE859,G1752-204-021,74.47,17.73806,31.95,0.181,10.5,52.29,-0.09,0.05,7.467,3982.6,52.7,54.1,42.7,71.8,314.97,355.3,0.6,
CFAG546,G1752-204-029,72.47,15.49333,28.33,0.183,10.53,49.59,-0.11,0.08,8.732,3981.7,52.2,53.6,43.1,72.3,337.28,442.9,0.7,
CFAD216,G1752-204-024,63.97,13.92753,23.77,0.204,10.5,48.48,-0.08,0.05,10.649,3968.1,52.7,53.9,42.7,70.7,314.93,192.9,0.9,
CFAG541,G1752-204-029,73.96,16.90945,27.12,0.182,10.5,46.55,-0.06,0.04,9.2,3978.1,52.2,53.5,42.4,71.9,329.61,451.8,0.8,
CFAE914,G1752-204-022,74.23,19.24583,23.41,0.191,10.53,51.09,0,0.12,10.846,3974.6,52,53.5,41.9,67.5,335.78,312.5,0.8,
CFAG545,G1752-204-029,70.98,15.84795,25.94,0.187,10.53,47.31,-0.06,0.04,9.662,3967.1,52.3,53.6,43.1,71.6,324.92,387.9,0.7,
CFA8530,G1752-204-029,61.97,16.15672,27.43,0.226,10.54,54.04,-0.05,0.05,9.079,3979.6,53,54.3,41.7,73.8,365.97,430.8,0.9,
CFAG450,G1752-204-021,67.22,20.51984,32.77,0.219,10.52,48.45,-0.14,0.03,7.215,3985.5,52.7,54.3,42.9,71.9,319.27,324.7,0.7,
CFAE426,G1752-204-029,71.54,15.98412,28.48,0.188,10.52,53.38,0,0.07,8.589,3944.6,52.5,53.6,40.9,64.3,365.45,552.7,0.8,
CFAE235,G1752-204-023,80.2,12.86743,23.85,0.153,10.52,54.68,-0.14,0.07,10.623,3971.7,53,54.5,41.2,71.7,356.79,294.7,0.9,
CFAG449,G1752-204-021,66.29,19.28131,28.42,0.221,10.57,47.62,-0.14,0.06,8.623,3949.6,52.5,53.5,41.6,72.1,350.27,358.7,0.6,
CFAF045,G1752-204-024,56.54,11.92445,24.38,0.232,10.52,49.02,-0.05,0.03,10.301,3949.5,52.4,53.6,42.1,70.4,351.17,488.6,0.9,
CFAF015,G1752-204-024,63.29,14.23928,24.71,0.213,10.51,52.97,-0.04,0.06,10.147,3948.4,52.4,54,41.2,69,354.05,502.1,1.1,
CFA8644,G1752-204-029,69.54,15.59764,27.79,0.188,10.55,47.85,-0.08,0.08,8.857,3947.3,52.7,53.6,41.1,71.6,369.76,543,0.9,
CFA8583,G1752-204-029,57.28,13.63241,25,0.233,10.52,50.37,-0.01,0.03,10.005,3944.5,52.5,53.9,42.9,72.8,339.36,316.1,1,
CFAC058,G1752-204-029,66.03,13.7626,23.12,0.195,10.52,48.32,-0.1,0.07,10.902,3950.3,52.8,54.3,41.6,72.6,365.94,290.4,0.8,
CFAG646,G1752-204-029,84.29,16.92055,28.33,0.149,10.52,52.51,-0.1,0.04,8.657,3949.7,52.7,53.9,41.9,70.6,383.84,635.5,0.5,
CFAF120,G1752-204-059,53.79,13.4381,27.67,0.253,10.53,52.43,-0.17,0.01,8.883,3939,52,53.1,43.1,72.4,370.17,266.3,1,
CFAG333,G1752-204-021,55.04,14.43484,26.97,0.251,10.51,56.6,-0.19,0.24,9.167,3942.2,52.5,53.3,42.4,72.6,332.58,283.4,1.3,
CFAF108,G1752-204-059,55.5,13.87254,28.31,0.244,10.52,50.48,-0.08,0,8.664,3949.5,52,53.3,43.6,71.6,344.66,284,1.1,
CFAG234,G1752-204-033,54.79,13.15496,27.56,0.247,10.55,55.2,-0.06,0.02,8.943,3945.9,52.5,53.8,43.1,71.8,324.64,476.7,1.1,
CELM617,G1752-204-052,54.28,11.39777,26.39,0.239,10.56,54.27,-0.07,0,9.403,3942.2,52,53.1,43.2,72.4,343.6,270.3,1.1,
CFAF113,G1752-204-059,54.28,12.7915,25.76,0.25,10.54,51.99,-0.08,0.06,9.633,3930.2,51.3,52.4,43.9,69.9,330.96,276,1.1,
CFAG322,G1752-204-021,60.06,13.9845,28.41,0.224,10.55,53.56,-0.01,0.03,8.629,3950.6,52.5,53.6,41.6,70.4,344.49,512.2,1.1,
CFAG316,G1752-204-021,55.53,13.22749,29.06,0.242,10.52,46.23,0,0.11,8.371,3942.2,52.3,53.3,42.2,72.1,349.98,406.8,0.9,
